epoch,loss,val_loss
0,1.0947108849870495,0.9642474949359894
1,1.0019661292962327,0.9647558430830637
2,1.0035197332444776,0.979270209868749
3,0.7649000533353034,0.9796235958735148
4,0.5925880859203234,0.9699535667896271
5,0.5277784615314591,0.9645966788132986
6,0.5149722733264286,0.9638272027174631
7,0.5132525298851416,0.963930070400238
8,0.5110586792060703,0.9636719226837158
9,0.5105582132174105,0.9636264244715372
10,0.5103767876028763,0.9636052350203196
11,0.5101571457957648,0.9635960857073466
12,0.5101578113641841,0.9635951519012451
13,0.5097184529389582,0.9635890523592631
14,0.5099078652392318,0.9635908901691437
15,0.5097811663526463,0.963583787282308
16,0.5095597291034898,0.9635830322901408
17,0.5095813093192536,0.9635827342669169
18,0.5098924826582063,0.9635985096295675
19,0.5093316685587697,0.9635819097359976
20,0.5092532146954909,0.9635811746120453
21,0.5090718842410432,0.9635810852050781
22,0.5092859042201165,0.963582456111908
23,0.5095635055795601,0.9635807971159617
24,0.509025614777882,0.9635801613330841
25,0.5087722725474049,0.9635811944802603
26,0.5087106758335328,0.9635798931121826
27,0.5088271874937581,0.9635802308718363
28,0.5088158989548557,0.9635801215966543
29,0.5086643920111709,0.963580330212911
30,0.5086117752999181,0.9635800917943319
31,0.5085778240542356,0.963579793771108
32,0.5084795693896799,0.9635798335075378
33,0.5085152975886091,0.9635804494222006
34,0.5086703551909572,0.9635798335075378
35,0.508527390009132,0.9635798732439677
36,0.5085323190810537,0.9635797838370005
37,0.5083927956387728,0.9635798235734304
38,0.5083847471309914,0.9635798335075378
39,0.5083952015281554,0.9635798434416453
40,0.5085411014757434,0.9635798037052155
41,0.5084194290928379,0.9635797838370005
42,0.5084647676251464,0.9635798037052155
43,0.5082175148363112,0.9635797341664633
44,0.5083172597349748,0.9635797441005707
45,0.5084047136659973,0.9635798434416453
46,0.508277707541286,0.9635797242323557
47,0.5083700380377736,0.9635797142982483
48,0.5083039869857965,0.9635797142982483
49,0.5081101937217141,0.9635797043641409
0,1.071251972622515,0.9637378553549448
1,1.0019676598556642,0.963834265867869
2,1.001957702510235,0.9640795985857645
3,1.0021411362576071,0.9799890518188477
4,0.8666449016293611,1.1426398754119873
5,0.5652638940436363,0.9643718401590983
6,0.5250465834097987,0.9638142387072245
7,0.5158445495935912,0.9638299643993378
